label,category,sort_key,defect_prob
Error_10,불량,10,99.9987
Error_11,불량,11,99.9778
Error_12,불량,12,99.9842
Error_13,불량,13,99.9997
Error_14,불량,14,99.9947
Error_15,불량,15,99.9998
Error_16,불량,16,99.9988
Error_17,불량,17,99.9994
Error_18,불량,18,99.9983
Error_19,불량,19,99.98
Error_1,불량,1,99.9992
Error_20,불량,20,99.9995
Error_21,불량,21,99.9982
Error_22,불량,22,99.9998
Error_23,불량,23,99.9996
Error_24,불량,24,99.9992
Error_25,불량,25,99.9997
Error_26,불량,26,99.9993
Error_27,불량,27,99.9985
Error_28,불량,28,99.9991
Error_29,불량,29,99.9974
Error_2,불량,2,99.9982
Error_30,불량,30,99.9993
Error_31,불량,31,99.9977
Error_32,불량,32,99.9979
Error_33,불량,33,99.9997
Error_34,불량,34,99.9975
Error_35,불량,35,99.9938
Error_36,불량,36,99.9992
Error_37,불량,37,99.9332
Error_38,불량,38,99.9992
Error_39,불량,39,99.9982
Error_3,불량,3,99.9963
Error_40,불량,40,99.9963
Error_41,불량,41,99.9739
Error_42,불량,42,99.9778
Error_43,불량,43,99.9973
Error_44,불량,44,99.9989
Error_45,불량,45,99.9979
Error_46,불량,46,99.9778
Error_47,불량,47,99.9987
Error_48,불량,48,99.9778
Error_49,불량,49,99.9842
Error_4,불량,4,99.9739
Error_50,불량,50,99.9997
Error_51,불량,51,99.9947
Error_52,불량,52,99.9998
Error_53,불량,53,99.9988
Error_54,불량,54,99.9994
Error_55,불량,55,99.9983
Error_56,불량,56,99.98
Error_57,불량,57,99.9995
Error_58,불량,58,99.9982
Error_59,불량,59,99.9998
Error_5,불량,5,99.9778
Error_60,불량,60,99.9996
Error_61,불량,61,99.9992
Error_62,불량,62,99.9997
Error_63,불량,63,99.9993
Error_64,불량,64,99.9985
Error_65,불량,65,99.9991
Error_66,불량,66,99.9974
Error_67,불량,67,99.9993
Error_68,불량,68,99.9977
Error_69,불량,69,99.9979
Error_6,불량,6,99.9973
Error_70,불량,70,99.9997
Error_71,불량,71,99.9975
Error_72,불량,72,99.9938
Error_73,불량,73,99.9992
Error_74,불량,74,99.9332
Error_7,불량,7,99.9989
Error_8,불량,8,99.9979
Error_9,불량,9,99.9778
Normal_1000,정상,1000,0.0002
Normal_1001,정상,1001,0.0
Normal_1002,정상,1002,0.0001
Normal_1003,정상,1003,0.0002
Normal_1004,정상,1004,0.0004
Normal_1005,정상,1005,0.0001
Normal_1006,정상,1006,0.0
Normal_1007,정상,1007,0.0001
Normal_1008,정상,1008,0.0001
Normal_1009,정상,1009,0.0002
Normal_100,정상,100,0.0001
Normal_1010,정상,1010,0.0004
Normal_1011,정상,1011,0.0001
Normal_1012,정상,1012,0.0
Normal_1013,정상,1013,0.0001
Normal_1014,정상,1014,0.0001
Normal_1015,정상,1015,0.0003
Normal_1016,정상,1016,0.0006
Normal_1017,정상,1017,0.0001
Normal_1018,정상,1018,0.0001
Normal_1019,정상,1019,0.0
Normal_101,정상,101,0.0001
Normal_1020,정상,1020,0.0002
Normal_1021,정상,1021,0.0
Normal_1022,정상,1022,0.0009
Normal_1023,정상,1023,0.0001
Normal_1024,정상,1024,0.0
Normal_1025,정상,1025,0.0
Normal_1026,정상,1026,0.0
Normal_1027,정상,1027,0.0
Normal_1028,정상,1028,0.0001
Normal_1029,정상,1029,0.0001
Normal_102,정상,102,0.0
Normal_1030,정상,1030,0.0001
Normal_1031,정상,1031,0.0001
Normal_1032,정상,1032,0.0
Normal_1033,정상,1033,0.0
Normal_1034,정상,1034,0.0002
Normal_1035,정상,1035,0.0009
Normal_1036,정상,1036,0.0001
Normal_1037,정상,1037,0.0
Normal_1038,정상,1038,0.0
Normal_1039,정상,1039,0.0
Normal_103,정상,103,0.0002
Normal_1040,정상,1040,0.0
Normal_1041,정상,1041,0.0
Normal_1042,정상,1042,0.0001
Normal_1043,정상,1043,0.0001
Normal_1044,정상,1044,0.0001
Normal_1045,정상,1045,0.0003
Normal_1046,정상,1046,0.0001
Normal_1047,정상,1047,0.0002
Normal_1048,정상,1048,0.0
Normal_1049,정상,1049,0.0001
Normal_104,정상,104,0.0
Normal_1050,정상,1050,0.0002
Normal_1051,정상,1051,0.0004
Normal_1052,정상,1052,0.0001
Normal_1053,정상,1053,0.0
Normal_1054,정상,1054,0.0001
Normal_1055,정상,1055,0.0001
Normal_1056,정상,1056,0.0003
Normal_1057,정상,1057,0.0006
Normal_1058,정상,1058,0.0001
Normal_1059,정상,1059,0.0001
Normal_105,정상,105,0.0009
Normal_1060,정상,1060,0.0
Normal_1061,정상,1061,0.0002
Normal_1062,정상,1062,0.0
Normal_1063,정상,1063,0.0009
Normal_1064,정상,1064,0.0001
Normal_1065,정상,1065,0.0
Normal_1066,정상,1066,0.0
Normal_1067,정상,1067,0.0
Normal_1068,정상,1068,0.0
Normal_1069,정상,1069,0.0
Normal_106,정상,106,0.0001
Normal_1070,정상,1070,0.0001
Normal_1071,정상,1071,0.0001
Normal_1072,정상,1072,0.0001
Normal_1073,정상,1073,0.0003
Normal_1074,정상,1074,0.0001
Normal_1075,정상,1075,0.0002
Normal_1076,정상,1076,0.0
Normal_1077,정상,1077,0.0001
Normal_1078,정상,1078,0.0002
Normal_1079,정상,1079,0.0004
Normal_107,정상,107,0.0
Normal_1080,정상,1080,0.0001
